SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,Count of students expected to test including previously passed,CountMetStandard,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,Percent Participation
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,05,SBAC,Math,,404.0,404.0,175.0,43.3%,0.2871287128712,0.2673267326732,0.2153465346534,0.2178217821782,0.438596491228,0.0123762376237,0.9876237623762
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,06,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Male,06,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,06,SBAC,ELA,<7%,,,,<7%,,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,06,SBAC,Math,<7%,,,,<7%,,,,,,,
2017-18,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,06,SBAC,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,07,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,English Language Learners,07,SBAC,ELA,<5%,,,,<5%,,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Migrant,07,SBAC,ELA,<30%,,,,<30%,,,,,,,
2017-18,Walla Walla Public Schools,Race,Asian,07,SBAC,ELA,<30%,,,,<30%,,,,,,,
2017-18,Walla Walla Public Schools,Race,TwoorMoreRaces,07,SBAC,ELA,Cross Grade Level - N<10,,,,41.7%,0.3333333333333,0.25,0.1666666666666,0.25,0.4166666666666,0.0,1.0
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,07,SBAC,Math,Cross Student Group - Top/Bottom,,,,42.4%,0.2905759162303,0.2670157068062,0.2120418848167,0.2120418848167,0.432,0.0183246073298,0.9816753926701
2017-18,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,07,SBAC,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,08,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,08,SBAC,Math,Cross Student Group - Top/Bottom,,,,41.9%,0.2756756756756,0.2837837837837,0.2027027027027,0.2162162162162,0.4281767955801,0.0216216216216,0.9783783783783
2017-18,Walla Walla Public Schools,Race,Black/ African American,08,SBAC,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,All,All Students,10,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),10,SBAC,ELA,,192.0,192.0,92.0,47.9%,0.2552083333333,0.2447916666666,0.359375,0.1197916666666,0.4893617021276,0.0208333333333,0.9791666666666
2017-18,Walla Walla Public Schools,s504,Non Section 504,10,SBAC,ELA,,461.0,461.0,287.0,62.3%,0.17136659436,0.1822125813449,0.3579175704989,0.2646420824295,0.6377777777777,0.0238611713665,0.9761388286334
2017-18,Walla Walla Public Schools,Gender,Female,10,SBAC,Math,,245.0,245.0,84.0,34.3%,0.3795918367346,0.2326530612244,0.1836734693877,0.1591836734693,0.3589743589743,0.0448979591836,0.9551020408163
2017-18,Walla Walla Public Schools,Military,Military Parent,10,SBAC,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,All Grades,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Male,All Grades,AIM,ELA,Cross Student Group - N<10,,,,54.5%,0.1818181818181,0.2727272727272,0.4545454545454,0.090909090909,0.5454545454545,0.0,1.0
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,All Grades,AIM,Math,,27.0,27.0,18.0,66.7%,0.1481481481481,0.1851851851851,0.5185185185185,0.1481481481481,0.6666666666666,0.0,1.0
2017-18,Walla Walla Public Schools,FRL,Low-Income,All Grades,SBAC,ELA,,1739.0,1739.0,616.0,35.4%,0.3645773433007,0.2702702702702,0.2593444508338,0.0948821161587,0.3581395348837,0.0109258194364,0.9890741805635
2017-18,Walla Walla Public Schools,Migrant,Migrant,All Grades,SBAC,ELA,,48.0,48.0,11.0,22.9%,0.5,0.2708333333333,0.2083333333333,0.0208333333333,0.2291666666666,0.0,1.0
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,All Grades,SBAC,Math,,2583.0,2583.0,1095.0,42.4%,0.2818428184281,0.2748741773132,0.2276422764227,0.1962833914053,0.4322937228582,0.0193573364305,0.9806426635694
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,All Grades,SBAC,Math,,2943.0,2943.0,1114.0,37.9%,0.3380903839619,0.2650356778797,0.2052327556914,0.1732925586136,0.3856005538248,0.0183486238532,0.9816513761467
2017-18,Walla Walla Public Schools,ELL,English Language Learners,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Male,03,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Male,03,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,All,All Students,03,SBAC,ELA,,428.0,428.0,173.0,40.4%,0.3317757009345,0.2546728971962,0.2242990654205,0.179906542056,0.4080188679245,0.0093457943925,0.9906542056074
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,03,SBAC,ELA,Cross Student Group - N<10,,,,40.8%,0.3254716981132,0.2570754716981,0.2264150943396,0.1816037735849,0.4119047619047,0.0094339622641,0.9905660377358
2017-18,Walla Walla Public Schools,Military,Non Military Parent,03,SBAC,ELA,Cross Student Group - N<10,,,,40.3%,0.3365155131264,0.2505966587112,0.2267303102625,0.1766109785202,0.4072289156626,0.0095465393794,0.9904534606205
2017-18,Walla Walla Public Schools,Race,Black/ African American,03,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,03,SBAC,ELA,,78.0,78.0,10.0,12.8%,0.6153846153846,0.2051282051282,0.0897435897435,0.0384615384615,0.1351351351351,0.051282051282,0.9487179487179
2017-18,Walla Walla Public Schools,FRL,Low-Income,04,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Gender,Female,04,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,04,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Non Migrant,04,SBAC,ELA,Cross Student Group - Top/Bottom,,,,52.3%,0.3021582733812,0.1702637889688,0.2398081534772,0.2829736211031,0.5253012048192,0.0047961630695,0.9952038369304
2017-18,Walla Walla Public Schools,Military,Non Military Parent,04,SBAC,ELA,Cross Student Group - N<10,,,,51.1%,0.3073286052009,0.177304964539,0.2364066193853,0.2742316784869,0.5130641330166,0.0047281323877,0.9952718676122
2017-18,Walla Walla Public Schools,Race,Black/ African American,04,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,04,SBAC,ELA,,67.0,67.0,9.0,13.4%,0.8059701492537,0.0447761194029,0.1194029850746,0.0149253731343,0.1363636363636,0.0149253731343,0.9850746268656
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,04,SBAC,Math,,347.0,347.0,160.0,46.1%,0.2046109510086,0.3285302593659,0.2795389048991,0.1815561959654,0.463768115942,0.0057636887608,0.9942363112391
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,04,SBAC,Math,,427.0,427.0,166.0,38.9%,0.2576112412177,0.3489461358313,0.2388758782201,0.1498829039812,0.3905882352941,0.0046838407494,0.9953161592505
2017-18,Walla Walla Public Schools,FRL,Low-Income,05,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Migrant,Migrant,05,SBAC,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),05,SBAC,ELA,,174.0,174.0,70.0,40.2%,0.3045977011494,0.287356321839,0.2816091954022,0.1206896551724,0.4046242774566,0.0057471264367,0.9942528735632
2017-18,Walla Walla Public Schools,All,All Students,05,SBAC,Math,,404.0,404.0,175.0,43.3%,0.2871287128712,0.2673267326732,0.2153465346534,0.2178217821782,0.438596491228,0.0123762376237,0.9876237623762
2017-18,Walla Walla Public Schools,FRL,Low-Income,06,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,ELL,Non-English Language Learners,07,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,07,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,FRL,Non-Low Income,07,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Race,White,07,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,SWD,Students with Disabilities,07,SBAC,ELA,,57.0,57.0,6.0,10.5%,0.6491228070175,0.2280701754385,0.1052631578947,0.0,0.1071428571428,0.0175438596491,0.9824561403508
2017-18,Walla Walla Public Schools,SWD,Students without Disabilities,07,SBAC,ELA,,388.0,388.0,209.0,53.9%,0.2113402061855,0.2396907216494,0.3530927835051,0.1855670103092,0.5442708333333,0.0103092783505,0.9896907216494
2017-18,Walla Walla Public Schools,FRL,Low-Income,08,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,10,AIM,ELA,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Foster,Non-Foster Care,10,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,Military,Non Military Parent,10,AIM,Math,N<10,,,,N<10,,,,,,,
2017-18,Walla Walla Public Schools,s504,Non Section 504,All Grades,AIM,Math,,27.0,27.0,18.0,66.7%,0.1481481481481,0.1851851851851,0.5185185185185,0.1481481481481,0.6666666666666,0.0,1.0
2017-18,Walla Walla Public Schools,Gender,Male,All Grades,SBAC,ELA,,1511.0,1511.0,675.0,44.7%,0.3031105228325,0.2329583057577,0.2925215089344,0.1542025148908,0.4545454545454,0.0172071475843,0.9827928524156
2017-18,Walla Walla Public Schools,ELL,English Language Learners,All Grades,SBAC,Math,,408.0,408.0,22.0,5.4%,0.7205882352941,0.2156862745098,0.0441176470588,0.0098039215686,0.0544554455445,0.0098039215686,0.9901960784313
2017-18,Walla Walla Public Schools,Gender,Female,All Grades,SBAC,Math,,1479.0,1479.0,551.0,37.3%,0.3380662609871,0.2751859364435,0.2062204192021,0.1663286004056,0.377914951989,0.0141987829614,0.9858012170385
2017-18,Walla Walla Public Schools,homeless,Non-Homeless,03,AIM,Math,N<10,,,,N<10,,,,,,,
