SchoolYear,DistrictName,StudentGroupType,StudentGroup,GradeLevel,TestAdministration,TestSubject,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentNoScore,PercentParticipation
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,04,SBAC,ELA,0.1510791366906,0.1798561151079,0.2374100719424,0.4244604316546,0.0071942446043,0.9928057553956
2020-21,Walla Walla Public Schools,FRL,Low-Income,04,SBAC,ELA,0.4977973568281,0.2731277533039,0.0969162995594,0.1145374449339,0.0176211453744,0.9823788546255
2020-21,Walla Walla Public Schools,Gender,Female,04,SBAC,ELA,0.3259668508287,0.232044198895,0.1933701657458,0.2375690607734,0.0110497237569,0.988950276243
2020-21,Walla Walla Public Schools,Gender,Male,04,SBAC,ELA,0.4054054054054,0.2432432432432,0.1081081081081,0.227027027027,0.0162162162162,0.9837837837837
2020-21,Walla Walla Public Schools,homeless,Homeless,04,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,04,SBAC,ELA,0.3613445378151,0.2380952380952,0.1540616246498,0.2324929971988,0.0140056022408,0.9859943977591
2020-21,Walla Walla Public Schools,Migrant,Migrant,04,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,04,SBAC,ELA,0.3626373626373,0.2390109890109,0.1510989010989,0.2335164835164,0.0137362637362,0.9862637362637
2020-21,Walla Walla Public Schools,Military,Military Parent,04,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,04,SBAC,ELA,0.3681318681318,0.2390109890109,0.1510989010989,0.2280219780219,0.0137362637362,0.9862637362637
2020-21,Walla Walla Public Schools,Race,Asian,04,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Black/ African American,04,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,White,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,04,SBAC,ELA,0.2307692307692,0.3076923076923,0.2307692307692,0.2307692307692,0.0,1.0
2020-21,Walla Walla Public Schools,Race,White,04,SBAC,ELA,0.271676300578,0.2023121387283,0.1560693641618,0.3583815028901,0.0115606936416,0.9884393063583
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),04,SBAC,ELA,0.48,0.2628571428571,0.1371428571428,0.1028571428571,0.0171428571428,0.9828571428571
2020-21,Walla Walla Public Schools,s504,Section 504,04,SBAC,ELA,0.2,0.2,0.1,0.5,0.0,1.0
2020-21,Walla Walla Public Schools,s504,Non Section 504,04,SBAC,ELA,0.3707865168539,0.2387640449438,0.1516853932584,0.2247191011235,0.0140449438202,0.9859550561797
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,04,SBAC,ELA,0.6730769230769,0.1923076923076,0.0384615384615,0.076923076923,0.0192307692307,0.9807692307692
2020-21,Walla Walla Public Schools,SWD,Students without Disabilities,04,SBAC,ELA,0.3152866242038,0.2452229299363,0.1687898089171,0.2579617834394,0.0127388535031,0.9872611464968
2020-21,Walla Walla Public Schools,All,All Students,04,SBAC,Math,0.4234972677595,0.2486338797814,0.1775956284153,0.1448087431693,0.0054644808743,0.9945355191256
2020-21,Walla Walla Public Schools,ELL,English Language Learners,04,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,04,SBAC,Math,0.3476821192052,0.2649006622516,0.205298013245,0.1754966887417,0.0066225165562,0.9933774834437
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,04,SBAC,Math,0.4234972677595,0.2486338797814,0.1775956284153,0.1448087431693,0.0054644808743,0.9945355191256
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,04,SBAC,Math,0.1942446043165,0.2374100719424,0.251798561151,0.3165467625899,0.0,1.0
2020-21,Walla Walla Public Schools,FRL,Low-Income,04,SBAC,Math,0.5638766519823,0.2555066079295,0.1321585903083,0.0396475770925,0.0088105726872,0.9911894273127
2020-21,Walla Walla Public Schools,Gender,Female,04,SBAC,Math,0.403314917127,0.3093922651933,0.1657458563535,0.1160220994475,0.0055248618784,0.9944751381215
2020-21,Walla Walla Public Schools,Gender,Male,04,SBAC,Math,0.4432432432432,0.1891891891891,0.1891891891891,0.1729729729729,0.0054054054054,0.9945945945945
2020-21,Walla Walla Public Schools,homeless,Homeless,04,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,04,SBAC,Math,0.4173669467787,0.2521008403361,0.1764705882352,0.1484593837535,0.0056022408963,0.9943977591036
2020-21,Walla Walla Public Schools,Migrant,Migrant,04,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,04,SBAC,Math,0.4203296703296,0.25,0.1785714285714,0.1456043956043,0.0054945054945,0.9945054945054
2020-21,Walla Walla Public Schools,Military,Military Parent,04,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,04,SBAC,Math,0.4258241758241,0.25,0.1758241758241,0.1428571428571,0.0054945054945,0.9945054945054
2020-21,Walla Walla Public Schools,Race,Asian,04,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,Black/ African American,04,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,04,SBAC,Math,0.3076923076923,0.3076923076923,0.1538461538461,0.2307692307692,0.0,1.0
2020-21,Walla Walla Public Schools,Race,White,04,SBAC,Math,0.3121387283236,0.2196531791907,0.2369942196531,0.2254335260115,0.0057803468208,0.9942196531791
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),04,SBAC,Math,0.5428571428571,0.2742857142857,0.1257142857142,0.0514285714285,0.0057142857142,0.9942857142857
2020-21,Walla Walla Public Schools,s504,Section 504,04,SBAC,Math,0.1,0.5,0.0,0.4,0.0,1.0
2020-21,Walla Walla Public Schools,s504,Non Section 504,04,SBAC,Math,0.4325842696629,0.2415730337078,0.1825842696629,0.1376404494382,0.005617977528,0.9943820224719
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,04,SBAC,Math,0.75,0.0576923076923,0.1346153846153,0.0384615384615,0.0192307692307,0.9807692307692
2020-21,Walla Walla Public Schools,SWD,Students without Disabilities,04,SBAC,Math,0.3694267515923,0.28025477707,0.1847133757961,0.1624203821656,0.0031847133757,0.9968152866242
2020-21,Walla Walla Public Schools,ELL,English Language Learners,05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,05,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,All,All Students,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,ELL,English Language Learners,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,05,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,All,All Students,05,SBAC,ELA,0.3196721311475,0.2267759562841,0.2021857923497,0.2377049180327,0.0136612021857,0.9863387978142
2020-21,Walla Walla Public Schools,ELL,English Language Learners,05,SBAC,ELA,0.6595744680851,0.1702127659574,0.127659574468,0.0,0.0425531914893,0.9574468085106
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,05,SBAC,ELA,0.269592476489,0.2351097178683,0.2131661442006,0.2727272727272,0.0094043887147,0.9905956112852
2020-21,Walla Walla Public Schools,Foster,Foster Care,05,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,05,SBAC,ELA,0.3186813186813,0.2280219780219,0.2005494505494,0.2390109890109,0.0137362637362,0.9862637362637
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,05,SBAC,ELA,0.1523178807947,0.2251655629139,0.2582781456953,0.3576158940397,0.0066225165562,0.9933774834437
2020-21,Walla Walla Public Schools,Gender,Female,05,SBAC,ELA,0.3526011560693,0.2138728323699,0.1907514450867,0.2369942196531,0.0057803468208,0.9942196531791
2020-21,Walla Walla Public Schools,Gender,Male,05,SBAC,ELA,0.2901554404145,0.2383419689119,0.2124352331606,0.2383419689119,0.020725388601,0.9792746113989
2020-21,Walla Walla Public Schools,homeless,Homeless,05,SBAC,ELA,0.4545454545454,0.1818181818181,0.2727272727272,0.090909090909,0.0,1.0
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,05,SBAC,ELA,0.3154929577464,0.2281690140845,0.2,0.2422535211267,0.0140845070422,0.9859154929577
2020-21,Walla Walla Public Schools,Migrant,Migrant,05,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,05,SBAC,ELA,0.3130193905817,0.2271468144044,0.2049861495844,0.2409972299168,0.0138504155124,0.9861495844875
2020-21,Walla Walla Public Schools,Military,Military Parent,05,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,05,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Black/ African American,05,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Asian,05,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,05,SBAC,ELA,0.2142857142857,0.1428571428571,0.2142857142857,0.3571428571428,0.0714285714285,0.9285714285714
2020-21,Walla Walla Public Schools,s504,Non Section 504,05,SBAC,ELA,0.3157894736842,0.2299168975069,0.2022160664819,0.2382271468144,0.0138504155124,0.9861495844875
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,05,SBAC,ELA,0.6176470588235,0.1617647058823,0.0588235294117,0.1176470588235,0.0441176470588,0.9558823529411
2020-21,Walla Walla Public Schools,SWD,Students without Disabilities,05,SBAC,ELA,0.2516778523489,0.241610738255,0.234899328859,0.2651006711409,0.0067114093959,0.993288590604
2020-21,Walla Walla Public Schools,All,All Students,05,SBAC,Math,0.327868852459,0.3060109289617,0.1939890710382,0.155737704918,0.0163934426229,0.983606557377
2020-21,Walla Walla Public Schools,ELL,English Language Learners,05,SBAC,Math,0.6595744680851,0.2340425531914,0.063829787234,0.0,0.0425531914893,0.9574468085106
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,05,SBAC,Math,0.2789968652037,0.3166144200626,0.2131661442006,0.1786833855799,0.0125391849529,0.987460815047
2020-21,Walla Walla Public Schools,Foster,Foster Care,05,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,05,SBAC,Math,0.326923076923,0.304945054945,0.1950549450549,0.1565934065934,0.0164835164835,0.9835164835164
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,05,SBAC,Math,0.1721854304635,0.2781456953642,0.2715231788079,0.2715231788079,0.0066225165562,0.9933774834437
2020-21,Walla Walla Public Schools,FRL,Low-Income,05,SBAC,Math,0.4372093023255,0.3255813953488,0.1395348837209,0.0744186046511,0.0232558139534,0.9767441860465
2020-21,Walla Walla Public Schools,Gender,Female,05,SBAC,Math,0.4046242774566,0.2658959537572,0.1849710982658,0.1329479768786,0.0115606936416,0.9884393063583
2020-21,Walla Walla Public Schools,Gender,Male,05,SBAC,Math,0.2590673575129,0.341968911917,0.2020725388601,0.1761658031088,0.020725388601,0.9792746113989
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,05,SBAC,Math,0.3267605633802,0.2985915492957,0.2,0.1577464788732,0.0169014084507,0.9830985915492
2020-21,Walla Walla Public Schools,Migrant,Migrant,05,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,05,SBAC,Math,0.3213296398891,0.3074792243767,0.196675900277,0.1578947368421,0.0166204986149,0.983379501385
2020-21,Walla Walla Public Schools,Military,Military Parent,05,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,05,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,Black/ African American,05,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,Asian,05,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,05,SBAC,Math,0.2142857142857,0.5,0.0,0.2142857142857,0.0714285714285,0.9285714285714
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),05,SBAC,Math,0.4539007092198,0.2907801418439,0.1560283687943,0.0780141843971,0.0212765957446,0.9787234042553
2020-21,Walla Walla Public Schools,Race,White,05,SBAC,Math,0.2437810945273,0.3134328358208,0.228855721393,0.2039800995024,0.0099502487562,0.9900497512437
2020-21,Walla Walla Public Schools,s504,Section 504,05,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,05,SBAC,Math,0.3268698060941,0.3074792243767,0.191135734072,0.1578947368421,0.0166204986149,0.983379501385
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,05,SBAC,Math,0.6470588235294,0.1764705882352,0.0588235294117,0.0735294117647,0.0441176470588,0.9558823529411
2020-21,Walla Walla Public Schools,SWD,Students without Disabilities,05,SBAC,Math,0.2550335570469,0.3355704697986,0.2248322147651,0.1744966442953,0.0100671140939,0.989932885906
2020-21,Walla Walla Public Schools,All,All Students,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Gender,Female,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,White,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,06,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,All,All Students,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Gender,Female,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,White,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,06,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,All,All Students,06,SBAC,ELA,0.3675675675675,0.2135135135135,0.1756756756756,0.2189189189189,0.0243243243243,0.9756756756756
2020-21,Walla Walla Public Schools,ELL,English Language Learners,06,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,06,SBAC,ELA,0.290625,0.23125,0.203125,0.253125,0.021875,0.978125
2020-21,Walla Walla Public Schools,Foster,Foster Care,06,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,06,SBAC,ELA,0.3658536585365,0.2140921409214,0.1761517615176,0.2195121951219,0.0243902439024,0.9756097560975
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,06,SBAC,ELA,0.15,0.15,0.2642857142857,0.4142857142857,0.0214285714285,0.9785714285714
2020-21,Walla Walla Public Schools,FRL,Low-Income,06,SBAC,ELA,0.5,0.2521739130434,0.1217391304347,0.1,0.0260869565217,0.9739130434782
2020-21,Walla Walla Public Schools,Gender,Female,06,SBAC,ELA,0.3235294117647,0.2117647058823,0.2,0.2411764705882,0.0235294117647,0.9764705882352
2020-21,Walla Walla Public Schools,Gender,Male,06,SBAC,ELA,0.405,0.215,0.155,0.2,0.025,0.975
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,06,SBAC,ELA,0.3611111111111,0.2138888888888,0.1777777777777,0.225,0.0222222222222,0.9777777777777
2020-21,Walla Walla Public Schools,Migrant,Migrant,06,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,06,SBAC,ELA,0.3643835616438,0.2136986301369,0.1753424657534,0.2219178082191,0.0246575342465,0.9753424657534
2020-21,Walla Walla Public Schools,Military,Military Parent,06,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,06,SBAC,ELA,0.3715846994535,0.2131147540983,0.1721311475409,0.2185792349726,0.0245901639344,0.9754098360655
2020-21,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,06,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Asian,06,SBAC,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,06,SBAC,ELA,0.3,0.4,0.1,0.15,0.05,0.95
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),06,SBAC,ELA,0.486301369863,0.2465753424657,0.1712328767123,0.0684931506849,0.0273972602739,0.972602739726
2020-21,Walla Walla Public Schools,Race,White,06,SBAC,ELA,0.2842639593908,0.1675126903553,0.1878172588832,0.3401015228426,0.0203045685279,0.979695431472
2020-21,Walla Walla Public Schools,s504,Section 504,06,SBAC,ELA,0.3684210526315,0.1578947368421,0.2631578947368,0.1578947368421,0.0526315789473,0.9473684210526
2020-21,Walla Walla Public Schools,s504,Non Section 504,06,SBAC,ELA,0.3675213675213,0.2165242165242,0.1709401709401,0.2222222222222,0.022792022792,0.9772079772079
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,06,SBAC,ELA,0.6349206349206,0.1904761904761,0.047619047619,0.031746031746,0.095238095238,0.9047619047619
2020-21,Walla Walla Public Schools,SWD,Students without Disabilities,06,SBAC,ELA,0.3127035830618,0.2182410423452,0.2019543973941,0.257328990228,0.0097719869706,0.9902280130293
2020-21,Walla Walla Public Schools,All,All Students,06,SBAC,Math,0.5,0.2054054054054,0.1243243243243,0.1432432432432,0.027027027027,0.9729729729729
2020-21,Walla Walla Public Schools,ELL,English Language Learners,06,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,06,SBAC,Math,0.446875,0.221875,0.14375,0.165625,0.021875,0.978125
2020-21,Walla Walla Public Schools,Foster,Foster Care,06,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,06,SBAC,Math,0.4986449864498,0.2059620596205,0.1246612466124,0.1436314363143,0.0271002710027,0.9728997289972
2020-21,Walla Walla Public Schools,FRL,Non-Low Income,06,SBAC,Math,0.2857142857142,0.1785714285714,0.2,0.3214285714285,0.0142857142857,0.9857142857142
2020-21,Walla Walla Public Schools,FRL,Low-Income,06,SBAC,Math,0.6304347826086,0.2217391304347,0.0782608695652,0.0347826086956,0.0347826086956,0.9652173913043
2020-21,Walla Walla Public Schools,Gender,Female,06,SBAC,Math,0.5176470588235,0.2058823529411,0.1058823529411,0.1470588235294,0.0235294117647,0.9764705882352
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,06,SBAC,Math,0.4944444444444,0.2055555555555,0.1277777777777,0.1472222222222,0.025,0.975
2020-21,Walla Walla Public Schools,Migrant,Migrant,06,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,06,SBAC,Math,0.4986301369863,0.2054794520547,0.1260273972602,0.145205479452,0.0246575342465,0.9753424657534
2020-21,Walla Walla Public Schools,Military,Military Parent,06,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,06,SBAC,Math,0.5,0.207650273224,0.1202185792349,0.1448087431693,0.0273224043715,0.9726775956284
2020-21,Walla Walla Public Schools,Race,American Indian/ Alaskan Native,06,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,Asian,06,SBAC,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,06,SBAC,Math,0.55,0.15,0.05,0.2,0.05,0.95
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),06,SBAC,Math,0.6232876712328,0.1917808219178,0.1164383561643,0.0342465753424,0.0342465753424,0.9657534246575
2020-21,Walla Walla Public Schools,Race,White,06,SBAC,Math,0.4060913705583,0.2182741116751,0.1319796954314,0.2233502538071,0.0203045685279,0.979695431472
2020-21,Walla Walla Public Schools,s504,Section 504,06,SBAC,Math,0.5263157894736,0.1578947368421,0.1052631578947,0.1578947368421,0.0526315789473,0.9473684210526
2020-21,Walla Walla Public Schools,s504,Non Section 504,06,SBAC,Math,0.4985754985754,0.2079772079772,0.1253561253561,0.1424501424501,0.025641025641,0.9743589743589
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,06,SBAC,Math,0.7619047619047,0.079365079365,0.031746031746,0.031746031746,0.095238095238,0.9047619047619
2020-21,Walla Walla Public Schools,SWD,Students without Disabilities,06,SBAC,Math,0.4462540716612,0.2312703583061,0.14332247557,0.1661237785016,0.0130293159609,0.986970684039
2020-21,Walla Walla Public Schools,All,All Students,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,ELL,English Language Learners,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Gender,Female,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Migrant,Non Migrant,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,Race,Hispanic/ Latino of any race(s),07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,s504,Non Section 504,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,SWD,Students with Disabilities,07,AIM,ELA,,,,,,
2020-21,Walla Walla Public Schools,All,All Students,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,ELL,Non-English Language Learners,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Foster,Non-Foster Care,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,FRL,Low-Income,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Gender,Female,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Gender,Male,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,homeless,Non-Homeless,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Military,Non Military Parent,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,TwoorMoreRaces,07,AIM,Math,,,,,,
2020-21,Walla Walla Public Schools,Race,White,07,AIM,Math,,,,,,
